,store_name,street_address,borough,zip_code,bbl,latitude,longitude
182,Omale New York Grocery,2172,Bronx,10457,2030980025.0,40.850097,-73.886683
183,Vasquez Deli Grocery,1959,Bronx,10457,2030920044.0,40.845028,-73.890002
184,Webster Food Corp,2031,Bronx,10457,2031420074.0,40.85091,-73.899032
185,Almontaser Enterprises LLC,2792,Brooklyn,11207,3039470017.0,40.678053,-73.891478
186,Habibi Gourmet Deli,2761,Brooklyn,11207,3036640045.0,40.677879,-73.892772
187,J & K Grocery,2737,Brooklyn,11207,3036630042.0,40.677742,-73.893678
188,La Vega Grocery,2772,Brooklyn,11207,3039460014.0,40.677936,-73.892268
189,Marien Groceries Corp.,99,Brooklyn,11207,3034860007.0,40.678656,-73.896416
190,One Apple Grocery Store,609,Brooklyn,11207,3034300008.0,40.69016,-73.907173
191,Plaza Meat Market,100,Brooklyn,11207,3034390035.0,40.68619,-73.908898
192,Shorty Meat Farm,2949,Brooklyn,11207,3039390027.0,40.679549,-73.885916
193,Sunny Supermarket,200,Brooklyn,11207,3039170007.0,40.68039,-73.892682
194,VLT Mini Market Inc.,2837,Brooklyn,11207,3039350052.0,40.678348,-73.889747
195,Comidas Dominicanas Capellan Deli,1626,New York,10029,1016210035.0,40.798843,-73.943587
196,Deli Superette,1858,New York,10029,1016430015.0,40.798118,-73.942006
197,Puchito Grocery,2122,New York,10029,1016810001.0,40.792642,-73.940956
198,Annabelle Deli,2121,New York,10029,1016590021.0,40.792729,-73.940913
199,Juice Bar Deli,308,New York,10029,1016870046.0,40.796768,-73.937236
200,AA Deli and Grocery,2100,New York,10029,1016800001.0,40.792074,-73.941372
201,Mini Market Corps,1690,New York,10029,1016340015.0,40.79235,-73.946215
202,Madison Deli and Grocery,1550,New York,10029,1016100058.0,40.792753,-73.950144
203,El Tepeyac Grocery,1621,New York,10029,1016300021.0,40.789922,-73.947961
204,Mi Mexico Mini Market,172,New York,10029,1016310045.0,40.790605,-73.946469
205,East Side Gourmet Deli,1863,New York,10029,,40.789515,-73.946163
206,2015 Food Deli,2015,New York,10029,1016750029.0,40.788176,-73.941133
207,JJ Food  Market,153,New York,10029,1016270023.0,40.787686,-73.94923
208,Deli Mini Mart,339,New York,10029,1016870021.0,40.79565,-73.936703
209,Cherry Deli Gourmet,1575,New York,10029,1016280050.0,40.78874,-73.948825
210,Cherry Valley Market,309,New York,10029,1016870005.0,40.796167,-73.937941
211,Super Fi Emporium,1635,New York,10029,1016317501.0,40.790501,-73.947538
212,NYC Fresh Market,1656,New York,10029,1016160001.0,40.796358,-73.947512
213,Fine Fare,1718,New York,10029,1016180001.0,40.798265,-73.94612
214,City Fresh Market,235,New York,10029,1016560001.0,40.791026,-73.943359
