,building_id,borough,street_name,house_number,project_id,latitude,longitude
2334,209702.0,Brooklyn,BETHEL LOOP,180,67403,40.651296,-73.882108
2335,228308.0,Brooklyn,CROTON LOOP,1260,67403,40.649114,-73.885157
2336,296315.0,Brooklyn,FREEPORT LOOP,1420,67403,40.646031,-73.881905
2337,352991.0,Brooklyn,PENNSYLVANIA AVENUE,1155,67403,40.651736,-73.885509
2338,385229.0,Brooklyn,GENEVA LOOP,1445,67403,40.646298,-73.879652
2339,807564.0,Brooklyn,ARDSLEY LOOP,175,67403,40.652398,-73.883739
2340,807565.0,Brooklyn,ARDSLEY LOOP,185,67403,40.65214,-73.883015
2341,807781.0,Brooklyn,BETHEL LOOP,190,67403,40.651419,-73.881135
2342,807782.0,Brooklyn,BETHEL LOOP,200,67403,40.652097,-73.88162
2343,808043.0,Brooklyn,CROTON LOOP,1280,67403,40.649264,-73.883719
2344,808077.0,Brooklyn,DELMAR LOOP,1275,67403,40.650286,-73.882524
2345,808078.0,Brooklyn,DELMAR LOOP,1285,67403,40.650012,-73.882208
2346,808079.0,Brooklyn,DELMAR LOOP,1305,67403,40.649205,-73.882872
2347,808256.0,Brooklyn,ELMIRA LOOP,135,67403,40.648973,-73.880765
2348,808257.0,Brooklyn,ELMIRA LOOP,145,67403,40.649458,-73.880814
2349,808337.0,Brooklyn,FREEPORT LOOP,1430,67403,40.645658,-73.881513
2350,808338.0,Brooklyn,FREEPORT LOOP,1440,67403,40.645688,-73.881232
2351,808409.0,Brooklyn,GENEVA LOOP,1455,67403,40.64661,-73.878423
2352,808410.0,Brooklyn,GENEVA LOOP,1465,67403,40.646157,-73.878427
2353,808411.0,Brooklyn,GENEVA LOOP,1475,67403,40.645754,-73.879037
2354,808561.0,Brooklyn,HORNELL LOOP,1490,67403,40.644972,-73.879532
2355,808562.0,Brooklyn,HORNELL LOOP,1500,67403,40.644553,-73.879936
2356,808563.0,Brooklyn,HORNELL LOOP,1520,67403,40.644639,-73.878563
2357,808770.0,Brooklyn,LOUISIANA AVENUE,605,67403,40.647166,-73.885348
2358,808771.0,Brooklyn,LOUISIANA AVENUE,855,67403,40.642137,-73.879717
2359,809154.0,Brooklyn,PENNSYLVANIA AVENUE,1201,67403,40.651173,-73.885082
2360,809155.0,Brooklyn,PENNSYLVANIA AVENUE,1230,67403,40.65025,-73.884377
2361,809156.0,Brooklyn,PENNSYLVANIA AVENUE,1255,67403,40.650014,-73.88415
2362,809157.0,Brooklyn,PENNSYLVANIA AVENUE,1310,67403,40.649,-73.88306
2363,809158.0,Brooklyn,PENNSYLVANIA AVENUE,1325,67403,40.648321,-73.882265
2364,809159.0,Brooklyn,PENNSYLVANIA AVENUE,1425,67403,40.646472,-73.880214
2365,809160.0,Brooklyn,PENNSYLVANIA AVENUE,1460,67403,40.646068,-73.879786
2366,809161.0,Brooklyn,PENNSYLVANIA AVENUE,1515,67403,40.645073,-73.878649
2367,809162.0,Brooklyn,PENNSYLVANIA AVENUE,1530,67403,40.644378,-73.877908
2368,809379.0,Brooklyn,SCHROEDERS AVENUE,120,67403,40.647705,-73.881293
2369,809380.0,Brooklyn,SCHROEDERS AVENUE,125,67403,40.647716,-73.881307
