,prevailing_wage_status,low_income_units,middle_income_units,moderate_income_units,extremely_low_income_units,very_low_income_units,project_id
2431,Non Prevailing Wage,0,7,0,0,0,67337
2432,Non Prevailing Wage,0,0,0,0,0,66901
2433,Non Prevailing Wage,25,75,0,0,0,66901
2434,Non Prevailing Wage,0,0,1,0,0,67156
2435,Non Prevailing Wage,0,9,0,0,0,67338
2436,Non Prevailing Wage,0,5,0,0,0,67339
2437,Non Prevailing Wage,11,0,0,0,0,59464
2438,Non Prevailing Wage,0,0,0,0,1,67152
2439,Non Prevailing Wage,1,0,0,0,0,67146
2440,Non Prevailing Wage,1,0,0,0,0,67145
2441,Non Prevailing Wage,0,35,0,0,0,67340
2442,Non Prevailing Wage,35,0,0,0,0,66702
2443,Non Prevailing Wage,1,0,0,0,0,67159
2444,Non Prevailing Wage,1,0,0,0,0,66986
2445,Non Prevailing Wage,1,0,0,0,0,66983
2446,Non Prevailing Wage,1,0,0,0,0,66987
2447,Non Prevailing Wage,1,0,0,0,0,66981
2448,Non Prevailing Wage,13,0,0,0,0,67342
2449,Non Prevailing Wage,0,21,0,0,0,67343
2450,Non Prevailing Wage,34,21,0,0,0,66268
2451,Non Prevailing Wage,1,0,0,0,0,66977
2452,Non Prevailing Wage,0,0,0,0,1,66974
2453,Non Prevailing Wage,6,0,0,0,0,67345
2454,Non Prevailing Wage,66,0,0,0,0,65774
2455,Non Prevailing Wage,0,0,6,0,0,67346
2456,Non Prevailing Wage,0,0,4,0,0,66889
2457,Non Prevailing Wage,137,0,0,0,0,65541
2458,Non Prevailing Wage,1,0,0,0,0,66848
2459,Non Prevailing Wage,23,0,2,0,15,65357
2460,Non Prevailing Wage,24,0,0,3,17,65357
2461,Non Prevailing Wage,23,0,5,0,16,65357
2462,Non Prevailing Wage,32,0,6,0,23,65357
2463,Non Prevailing Wage,21,0,4,0,15,65357
2464,Non Prevailing Wage,18,0,4,2,15,65357
2465,Non Prevailing Wage,21,0,2,0,11,65357
2466,Non Prevailing Wage,12,0,0,0,14,65357
2467,Non Prevailing Wage,7,0,0,0,17,65357
2468,Non Prevailing Wage,18,0,0,0,17,65357
2469,Non Prevailing Wage,8,0,0,0,18,65357
2470,Non Prevailing Wage,13,0,0,0,12,65357
2471,Non Prevailing Wage,17,0,0,0,36,65357
2472,Non Prevailing Wage,56,0,0,0,0,55223
2473,Non Prevailing Wage,0,0,1,0,0,66846
2474,Non Prevailing Wage,1,0,0,0,1,67347
2475,Non Prevailing Wage,0,5,0,0,0,67008
2476,Non Prevailing Wage,17,4,0,0,14,64636
2477,Non Prevailing Wage,1,0,0,0,0,67162
2478,Non Prevailing Wage,0,3,0,0,0,67349
2479,Non Prevailing Wage,8,0,0,0,0,67006
2480,Non Prevailing Wage,16,34,0,0,0,67350
2481,Non Prevailing Wage,6,0,0,4,121,48768
2482,Non Prevailing Wage,0,5,0,0,0,67351
2483,Non Prevailing Wage,0,3,0,0,0,67009
2484,Non Prevailing Wage,36,0,13,0,0,67013
2485,Non Prevailing Wage,38,0,12,0,0,67013
2486,Non Prevailing Wage,0,0,3,0,0,66717
2487,Non Prevailing Wage,16,0,0,50,4,62289
2488,Non Prevailing Wage,6,1,0,108,19,63939
2489,Non Prevailing Wage,3,0,6,160,13,63941
2490,Non Prevailing Wage,1,0,0,0,0,67056
2491,Non Prevailing Wage,3,0,0,0,4,64756
2492,Non Prevailing Wage,1,0,0,0,5,64756
2493,Non Prevailing Wage,4,0,0,0,3,64756
2494,Non Prevailing Wage,1,0,0,0,0,66765
2495,Non Prevailing Wage,18,0,0,0,12,63014
2496,Non Prevailing Wage,1,0,0,0,0,66763
2497,Non Prevailing Wage,1,0,0,0,0,66758
2498,Non Prevailing Wage,1,0,0,0,0,66754
2499,Non Prevailing Wage,0,5,0,0,0,67011
2500,Non Prevailing Wage,0,4,0,0,0,67010
2501,Non Prevailing Wage,1,0,0,0,0,66753
2502,Non Prevailing Wage,0,10,0,0,0,67352
2503,Non Prevailing Wage,0,0,3,0,0,66689
2504,Non Prevailing Wage,6,0,0,0,0,67007
2505,Non Prevailing Wage,9,0,0,0,0,67012
2506,Non Prevailing Wage,5,0,0,0,0,67353
2507,Non Prevailing Wage,43,35,33,0,10,61388
2508,Non Prevailing Wage,99,0,67,56,58,51302
2509,Non Prevailing Wage,73,0,54,43,44,51302
2510,Non Prevailing Wage,4,0,0,3,1,54360
2511,Non Prevailing Wage,8,0,0,0,0,54360
2512,Non Prevailing Wage,3,0,0,3,2,54360
2513,Non Prevailing Wage,3,0,0,3,2,54360
2514,Non Prevailing Wage,8,0,0,0,0,54360
2515,Non Prevailing Wage,3,0,0,2,3,54360
2516,Non Prevailing Wage,3,0,0,2,3,54360
2517,Non Prevailing Wage,8,0,0,0,0,54360
2518,Non Prevailing Wage,4,0,0,2,2,54360
2519,Non Prevailing Wage,3,0,0,3,2,54360
2520,Non Prevailing Wage,3,0,0,3,2,54360
2521,Non Prevailing Wage,7,0,0,0,0,54360
2522,Non Prevailing Wage,4,0,0,1,3,54360
2523,Non Prevailing Wage,2,0,0,2,4,54360
2524,Non Prevailing Wage,8,0,0,0,0,54360
2525,Non Prevailing Wage,4,0,0,2,2,54360
2526,Non Prevailing Wage,4,0,0,2,2,54360
2527,Non Prevailing Wage,8,0,0,0,0,54360
2528,Non Prevailing Wage,4,0,0,2,2,54360
2529,Non Prevailing Wage,4,0,0,2,2,54360
2530,Non Prevailing Wage,94,0,0,120,0,58936
2531,Non Prevailing Wage,87,0,0,35,52,61357
2532,Non Prevailing Wage,112,0,19,19,38,62962
2533,Non Prevailing Wage,28,46,0,0,19,63913
2534,Non Prevailing Wage,15,14,0,0,0,64297
2535,Non Prevailing Wage,217,0,0,74,74,65213
2536,Non Prevailing Wage,2,0,3,30,16,65389
2537,Non Prevailing Wage,12,8,0,0,0,65825
2538,Non Prevailing Wage,9,0,5,0,0,58661
2539,Prevailing Wage,0,0,0,88,0,61186
2540,Non Prevailing Wage,138,0,0,0,0,70542
2541,Non Prevailing Wage,16,25,0,0,0,65573
2542,Non Prevailing Wage,7,0,0,0,0,59417
2543,Non Prevailing Wage,454,0,2,0,0,61849
2544,Non Prevailing Wage,407,0,7,0,0,61849
2545,Non Prevailing Wage,9,5,0,0,9,61571
2546,Non Prevailing Wage,0,0,0,43,1,61628
2547,Non Prevailing Wage,1,0,0,0,0,66457
2548,Non Prevailing Wage,1,0,0,0,0,66459
2549,Non Prevailing Wage,1,0,0,0,0,66460
2550,Non Prevailing Wage,11,0,0,0,0,59429
2551,Non Prevailing Wage,75,0,0,26,25,63775
2552,Non Prevailing Wage,0,0,10,0,0,65364
2553,Non Prevailing Wage,0,0,24,0,0,65364
2554,Non Prevailing Wage,0,0,1,0,0,66455
2555,Non Prevailing Wage,33,0,0,15,8,60425
2556,Non Prevailing Wage,0,0,1,0,0,66446
2557,Non Prevailing Wage,1,0,0,4,15,61639
2558,Non Prevailing Wage,2,0,0,2,20,61639
2559,Non Prevailing Wage,3,0,0,7,32,61639
2560,Non Prevailing Wage,1,0,0,4,15,61639
2561,Non Prevailing Wage,0,0,1,0,0,66438
2562,Non Prevailing Wage,1,0,0,0,0,66341
2563,Non Prevailing Wage,1,0,0,0,0,66338
2564,Non Prevailing Wage,1,0,0,0,0,66339
2565,Non Prevailing Wage,0,0,1,0,0,66340
2566,Non Prevailing Wage,24,0,0,0,206,66588
2567,Non Prevailing Wage,24,0,0,0,206,66588
2568,Non Prevailing Wage,24,0,0,0,206,66588
2569,Non Prevailing Wage,24,0,0,0,206,66588
2570,Non Prevailing Wage,24,0,0,0,205,66588
2571,Non Prevailing Wage,0,0,1,0,0,66336
2572,Non Prevailing Wage,1,0,0,0,0,66337
2573,Prevailing Wage,70,0,0,10,76,64399
2574,Prevailing Wage,69,0,0,11,76,64399
2575,Non Prevailing Wage,454,1,454,7,0,65361
2576,Non Prevailing Wage,28,0,0,43,0,62203
2577,Non Prevailing Wage,0,0,1,0,0,66333
2578,Non Prevailing Wage,0,0,1,0,0,66332
2579,Non Prevailing Wage,1,0,0,0,0,66331
2580,Prevailing Wage,0,0,0,83,0,61740
2581,Non Prevailing Wage,1,0,0,0,0,66330
2582,Non Prevailing Wage,4,12,0,0,0,64510
2583,Non Prevailing Wage,1,0,0,0,0,66325
2584,Non Prevailing Wage,14,0,0,230,38,58972
2585,Non Prevailing Wage,4,3,0,0,0,65246
2586,Non Prevailing Wage,55,0,0,0,24,65856
2587,Non Prevailing Wage,1,0,0,0,0,66323
2588,Non Prevailing Wage,0,0,1,0,0,66324
2589,Non Prevailing Wage,0,0,0,0,86,65831
2590,Non Prevailing Wage,0,0,3,0,0,66107
2591,Prevailing Wage,0,0,0,199,0,63289
2592,Non Prevailing Wage,113,0,0,15,15,63345
2593,Non Prevailing Wage,0,0,0,0,0,54838
2594,Non Prevailing Wage,0,0,1,0,0,54838
2595,Non Prevailing Wage,1,0,0,0,0,54838
2596,Non Prevailing Wage,1,0,0,0,0,54838
2597,Non Prevailing Wage,1,0,0,0,0,54838
2598,Non Prevailing Wage,1,0,0,0,0,54838
2599,Non Prevailing Wage,1,0,0,0,0,54838
2600,Non Prevailing Wage,1,0,0,0,0,54838
2601,Non Prevailing Wage,1,0,0,0,0,54838
2602,Non Prevailing Wage,1,0,0,0,0,54838
2603,Non Prevailing Wage,1,0,0,0,0,54838
2604,Non Prevailing Wage,1,0,0,0,0,54838
2605,Non Prevailing Wage,1,0,0,0,0,54838
2606,Non Prevailing Wage,1,0,0,0,0,54838
2607,Non Prevailing Wage,1,0,0,0,0,54838
2608,Non Prevailing Wage,1,0,0,0,0,54838
2609,Non Prevailing Wage,1,0,0,0,0,54838
2610,Non Prevailing Wage,0,0,1,0,0,54838
2611,Non Prevailing Wage,1,0,0,0,0,54838
2612,Non Prevailing Wage,1,0,0,0,0,54838
2613,Non Prevailing Wage,1,0,0,0,0,54838
2614,Non Prevailing Wage,1,0,0,0,0,54838
2615,Non Prevailing Wage,1,0,0,0,0,54838
2616,Non Prevailing Wage,0,0,1,0,0,54838
2617,Non Prevailing Wage,0,0,0,3,0,60426
2618,Non Prevailing Wage,0,0,0,6,0,60426
2619,Non Prevailing Wage,0,0,0,7,0,60426
2620,Non Prevailing Wage,0,0,0,3,0,60426
2621,Non Prevailing Wage,0,0,0,3,0,60426
2622,Non Prevailing Wage,0,0,0,7,0,60426
2623,Non Prevailing Wage,0,0,0,3,0,60426
2624,Non Prevailing Wage,0,0,0,3,0,60426
2625,Non Prevailing Wage,0,0,0,3,0,60426
2626,Non Prevailing Wage,0,0,0,3,0,60426
2627,Non Prevailing Wage,0,0,0,3,0,60426
2628,Non Prevailing Wage,0,0,0,3,0,60426
2629,Non Prevailing Wage,0,0,0,3,0,60426
2630,Non Prevailing Wage,0,0,0,7,0,60426
2631,Non Prevailing Wage,0,0,0,7,0,60426
2632,Non Prevailing Wage,0,0,0,7,0,60426
2633,Non Prevailing Wage,0,0,0,7,0,60426
2634,Non Prevailing Wage,0,0,0,7,0,60426
2635,Non Prevailing Wage,0,0,0,3,0,60426
2636,Non Prevailing Wage,0,0,0,3,0,60426
2637,Non Prevailing Wage,0,0,0,3,0,60426
2638,Non Prevailing Wage,0,0,0,3,0,60426
2639,Non Prevailing Wage,0,0,0,3,0,60426
2640,Non Prevailing Wage,0,0,0,7,0,60426
2641,Non Prevailing Wage,0,0,0,7,0,60426
2642,Non Prevailing Wage,0,0,0,7,0,60426
2643,Non Prevailing Wage,0,0,0,7,0,60426
2644,Non Prevailing Wage,30,0,0,28,34,61728
2645,Non Prevailing Wage,37,0,0,0,9,63332
2646,Non Prevailing Wage,4,0,0,2,5,63342
2647,Non Prevailing Wage,16,0,1,0,3,63342
2648,Non Prevailing Wage,13,0,0,1,8,63342
2649,Non Prevailing Wage,40,0,0,2,11,63343
2650,Non Prevailing Wage,39,0,1,0,4,63344
2651,Non Prevailing Wage,38,0,0,0,6,63344
2652,Non Prevailing Wage,36,0,0,3,9,63344
2653,Non Prevailing Wage,37,0,0,4,12,63344
2654,Non Prevailing Wage,48,0,0,3,11,63344
2655,Non Prevailing Wage,44,0,0,7,25,63344
2656,Non Prevailing Wage,12,0,0,0,4,63344
2657,Non Prevailing Wage,24,0,0,0,2,63790
2658,Non Prevailing Wage,40,0,0,0,8,63790
2659,Non Prevailing Wage,44,0,0,1,16,63790
2660,Non Prevailing Wage,15,0,0,0,2,63790
2661,Non Prevailing Wage,12,0,0,0,4,63790
2662,Non Prevailing Wage,20,0,0,1,5,63790
2663,Non Prevailing Wage,10,0,0,0,7,63790
2664,Non Prevailing Wage,46,0,0,0,4,63791
2665,Non Prevailing Wage,5,0,0,0,3,63791
2666,Non Prevailing Wage,3,0,0,2,3,63791
2667,Non Prevailing Wage,6,0,0,1,2,63791
2668,Non Prevailing Wage,12,0,0,0,2,63791
2669,Non Prevailing Wage,16,0,0,3,2,63793
2670,Non Prevailing Wage,16,0,0,3,3,63793
2671,Non Prevailing Wage,10,0,0,4,2,63793
2672,Non Prevailing Wage,10,0,0,1,6,63793
2673,Non Prevailing Wage,47,0,0,11,11,63793
2674,Non Prevailing Wage,33,0,0,5,9,63793
2675,Non Prevailing Wage,27,0,0,3,2,63793
2676,Non Prevailing Wage,16,0,0,1,8,63793
2677,Non Prevailing Wage,37,0,0,1,8,63793
2678,Non Prevailing Wage,27,0,0,8,11,63793
2679,Non Prevailing Wage,34,0,0,7,13,63793
2680,Non Prevailing Wage,25,0,0,2,10,63793
2681,Non Prevailing Wage,10,0,0,0,11,63794
2682,Non Prevailing Wage,11,0,0,1,8,63794
2683,Non Prevailing Wage,90,0,0,1,11,63794
2684,Non Prevailing Wage,51,0,0,1,6,63795
2685,Non Prevailing Wage,20,9,0,0,17,65506
2686,Non Prevailing Wage,0,0,1,0,0,66037
2687,Non Prevailing Wage,1,0,0,0,0,66038
2688,Non Prevailing Wage,30,0,0,0,90,66586
2689,Non Prevailing Wage,38,0,0,0,76,66586
2690,Prevailing Wage,29,0,0,14,76,63808
2691,Non Prevailing Wage,0,0,0,0,1,66025
2692,Non Prevailing Wage,0,0,1,0,0,66033
2693,Non Prevailing Wage,0,0,0,0,1,66032
2694,Non Prevailing Wage,0,0,1,0,0,66035
2695,Non Prevailing Wage,8,0,0,0,2,48608
2696,Non Prevailing Wage,18,0,0,0,4,48608
2697,Non Prevailing Wage,4,0,0,0,0,48608
2698,Non Prevailing Wage,47,0,0,0,8,48608
2699,Non Prevailing Wage,15,0,0,0,3,48608
2700,Non Prevailing Wage,4,0,0,0,0,48608
2701,Non Prevailing Wage,9,0,0,0,0,48608
2702,Non Prevailing Wage,1,5,70,0,0,63888
2703,Non Prevailing Wage,0,0,1,0,0,67328
2704,Non Prevailing Wage,0,0,0,0,2,66142
2705,Non Prevailing Wage,17,0,0,0,0,66422
2706,Non Prevailing Wage,1,0,0,0,0,66022
2707,Non Prevailing Wage,0,0,1,0,0,66024
2708,Non Prevailing Wage,16,1,6,110,17,63937
2709,Non Prevailing Wage,88,0,0,0,0,64157
2710,Non Prevailing Wage,1,0,0,0,0,66021
2711,Non Prevailing Wage,0,0,0,94,3,61593
2712,Non Prevailing Wage,0,0,59,0,0,66058
2713,Non Prevailing Wage,30,0,0,0,6,62211
2714,Non Prevailing Wage,41,0,0,0,10,62211
2715,Non Prevailing Wage,37,0,0,8,3,62211
2716,Non Prevailing Wage,0,0,1,0,0,65829
2717,Non Prevailing Wage,0,0,3,0,0,65723
2718,Non Prevailing Wage,0,0,1,0,0,65821
2719,Non Prevailing Wage,1,0,0,0,0,65830
2720,Non Prevailing Wage,0,0,1,0,0,65828
2721,Non Prevailing Wage,0,0,0,0,3,65711
2722,Non Prevailing Wage,5,0,0,0,0,66054
2723,Non Prevailing Wage,0,37,0,0,0,66060
2724,Non Prevailing Wage,1,0,0,0,0,65827
2725,Non Prevailing Wage,1,0,0,0,0,65820
2726,Non Prevailing Wage,33,0,0,0,0,66055
2727,Prevailing Wage,0,0,0,10,0,60435
2728,Prevailing Wage,0,0,0,11,0,60435
2729,Non Prevailing Wage,1,0,0,0,0,65822
2730,Non Prevailing Wage,9,0,0,0,0,66059
2731,Non Prevailing Wage,0,0,1,0,0,65620
2732,Non Prevailing Wage,1,0,0,0,0,65624
2733,Non Prevailing Wage,1,0,0,0,0,65630
2734,Non Prevailing Wage,0,0,1,0,0,65610
2735,Non Prevailing Wage,1,0,0,0,0,65812
2736,Non Prevailing Wage,0,0,1,0,0,65611
2737,Non Prevailing Wage,0,0,1,0,0,65619
2738,Non Prevailing Wage,0,0,1,0,0,65617
2739,Non Prevailing Wage,0,0,1,0,0,65618
2740,Non Prevailing Wage,14,0,0,0,6,64892
2741,Non Prevailing Wage,13,0,0,0,6,64892
2742,Non Prevailing Wage,1,0,0,0,0,65596
2743,Non Prevailing Wage,1,0,0,0,0,65615
2744,Non Prevailing Wage,0,0,0,0,3,65485
2745,Non Prevailing Wage,4,0,0,0,2,62204
2746,Non Prevailing Wage,1,0,0,0,0,65608
2747,Non Prevailing Wage,0,0,1,0,0,65454
2748,Non Prevailing Wage,0,0,0,0,1,65457
2749,Non Prevailing Wage,16,0,0,0,8,61903
2750,Non Prevailing Wage,1,0,0,0,0,65443
2751,Non Prevailing Wage,0,0,1,0,0,65456
2752,Non Prevailing Wage,1,0,0,0,0,65441
2753,Non Prevailing Wage,1,0,0,0,0,65444
2754,Non Prevailing Wage,0,0,3,0,0,65386
2755,Non Prevailing Wage,1,0,0,0,0,65455
2756,Non Prevailing Wage,2,0,0,0,0,66056
2757,Non Prevailing Wage,1,0,0,0,0,65439
2758,Non Prevailing Wage,2,0,0,0,0,66057
2759,Non Prevailing Wage,2,0,0,0,0,66053
2760,Non Prevailing Wage,0,0,0,0,170,59976
2761,Non Prevailing Wage,45,0,6,15,8,54954
2762,Non Prevailing Wage,8,0,0,1,6,58860
2763,Non Prevailing Wage,4,0,0,7,5,58860
2764,Non Prevailing Wage,2,0,0,3,3,58860
2765,Non Prevailing Wage,2,0,0,1,7,58860
2766,Non Prevailing Wage,5,0,1,0,6,58860
2767,Non Prevailing Wage,2,0,0,0,3,58860
2768,Non Prevailing Wage,4,0,0,0,4,58860
2769,Non Prevailing Wage,0,0,0,0,3,58860
2770,Non Prevailing Wage,1,0,0,1,3,58860
2771,Non Prevailing Wage,6,0,0,1,1,58860
2772,Non Prevailing Wage,2,0,0,0,10,58860
2773,Non Prevailing Wage,5,0,1,2,27,58860
2774,Non Prevailing Wage,1,0,0,0,10,58860
2775,Non Prevailing Wage,1,0,0,2,8,58860
2776,Non Prevailing Wage,0,0,0,0,4,58860
2777,Non Prevailing Wage,3,0,0,0,5,58860
2778,Non Prevailing Wage,3,0,0,0,0,58860
2779,Non Prevailing Wage,0,0,0,2,5,58860
2780,Non Prevailing Wage,27,0,0,7,65,58860
2781,Non Prevailing Wage,0,0,0,0,8,58860
2782,Non Prevailing Wage,0,0,0,0,2,58860
2783,Non Prevailing Wage,0,0,0,0,3,58860
2784,Non Prevailing Wage,6,0,0,0,0,58860
2785,Non Prevailing Wage,7,0,0,1,7,58860
2786,Non Prevailing Wage,0,0,0,2,1,58860
2787,Non Prevailing Wage,3,0,0,1,2,58860
2788,Non Prevailing Wage,6,0,0,6,12,58860
2789,Non Prevailing Wage,2,0,0,2,3,58860
2790,Non Prevailing Wage,4,0,0,1,2,58860
2791,Non Prevailing Wage,0,0,0,0,4,58860
2792,Non Prevailing Wage,7,0,1,10,10,58860
2793,Non Prevailing Wage,4,0,0,2,2,58860
2794,Non Prevailing Wage,0,0,0,0,12,58860
2795,Non Prevailing Wage,1,0,0,2,14,58860
2796,Non Prevailing Wage,0,0,0,1,5,58860
2797,Non Prevailing Wage,3,0,0,2,8,58860
2798,Non Prevailing Wage,8,0,0,3,4,58860
2799,Non Prevailing Wage,0,0,0,0,3,58860
2800,Non Prevailing Wage,0,0,0,0,3,58860
2801,Non Prevailing Wage,1,0,0,2,1,58860
2802,Non Prevailing Wage,2,0,0,1,0,58860
2803,Non Prevailing Wage,19,0,4,0,11,58860
2804,Non Prevailing Wage,13,0,1,1,14,58860
2805,Non Prevailing Wage,2,0,0,75,81,63221
2806,Non Prevailing Wage,29,0,0,0,9,63760
2807,Non Prevailing Wage,0,0,2,0,0,65051
2808,Non Prevailing Wage,1,0,0,0,0,65078
2809,Non Prevailing Wage,1,0,0,0,0,65084
2810,Non Prevailing Wage,0,0,0,0,1,65087
2811,Non Prevailing Wage,1,0,0,0,0,65122
2812,Non Prevailing Wage,0,0,0,0,1,65142
2813,Non Prevailing Wage,0,0,1,0,0,65156
2814,Non Prevailing Wage,0,0,3,0,0,65158
2815,Non Prevailing Wage,2,0,0,0,0,65159
2816,Non Prevailing Wage,0,0,1,0,0,65160
2817,Non Prevailing Wage,0,0,0,0,1,65162
2818,Non Prevailing Wage,3,0,0,0,0,65163
2819,Non Prevailing Wage,0,0,0,2,0,65164
2820,Non Prevailing Wage,0,0,3,0,0,65165
2821,Non Prevailing Wage,0,0,2,0,0,65167
2822,Non Prevailing Wage,3,0,0,0,0,65168
2823,Non Prevailing Wage,0,0,1,0,0,65170
2824,Non Prevailing Wage,0,0,0,0,2,65172
2825,Non Prevailing Wage,293,0,0,0,196,65189
2826,Non Prevailing Wage,292,0,0,0,197,65189
2827,Prevailing Wage,63,0,0,97,0,51301
2828,Non Prevailing Wage,120,80,0,80,119,51868
2829,Non Prevailing Wage,1,0,0,0,8,59474
2830,Non Prevailing Wage,4,0,0,1,4,59474
2831,Non Prevailing Wage,3,0,0,10,4,59474
2832,Non Prevailing Wage,23,0,0,10,17,59474
2833,Non Prevailing Wage,3,0,0,7,9,59474
2834,Non Prevailing Wage,22,0,0,1,14,59474
2835,Non Prevailing Wage,5,0,0,0,5,59474
2836,Non Prevailing Wage,2,0,0,1,6,59474
2837,Non Prevailing Wage,2,0,0,2,5,59474
2838,Non Prevailing Wage,10,0,0,6,20,59474
2839,Non Prevailing Wage,8,0,0,9,16,59474
2840,Non Prevailing Wage,2,0,0,0,5,59474
2841,Non Prevailing Wage,2,0,0,0,2,59474
2842,Non Prevailing Wage,20,0,0,1,9,59474
2843,Non Prevailing Wage,5,0,0,0,5,59474
2844,Non Prevailing Wage,4,0,0,0,5,59474
2845,Non Prevailing Wage,2,0,0,2,5,59474
2846,Non Prevailing Wage,1,0,0,1,7,59474
2847,Non Prevailing Wage,5,0,0,1,4,59474
2848,Non Prevailing Wage,8,0,0,6,4,59474
2849,Non Prevailing Wage,4,0,0,0,6,59474
2850,Prevailing Wage,46,0,0,71,0,60327
2851,Non Prevailing Wage,0,0,0,0,159,60996
2852,Non Prevailing Wage,0,0,0,0,160,60996
2853,Non Prevailing Wage,1,0,0,45,4,61701
2854,Prevailing Wage,0,0,0,158,0,61841
2855,Non Prevailing Wage,0,0,0,5,57,61848
2856,Non Prevailing Wage,0,0,0,3,59,61848
2857,Non Prevailing Wage,96,0,0,0,0,63732
2858,Non Prevailing Wage,87,0,0,0,0,63732
2859,Non Prevailing Wage,4,0,0,0,5,63845
2860,Non Prevailing Wage,4,0,0,0,4,63845
2861,Non Prevailing Wage,4,0,0,0,5,63845
2862,Non Prevailing Wage,4,0,0,0,5,63845
2863,Non Prevailing Wage,11,0,0,0,11,63845
2864,Non Prevailing Wage,1,0,0,0,1,63845
2865,Non Prevailing Wage,4,0,0,0,5,63845
2866,Non Prevailing Wage,11,0,0,0,13,63845
2867,Non Prevailing Wage,3,0,0,0,2,63845
2868,Non Prevailing Wage,3,0,0,0,2,63845
2869,Non Prevailing Wage,5,0,0,0,7,63845
2870,Non Prevailing Wage,3,0,0,0,2,63845
2871,Non Prevailing Wage,4,0,0,0,3,63845
2872,Non Prevailing Wage,5,0,0,0,6,63845
2873,Non Prevailing Wage,6,0,0,0,8,63845
2874,Non Prevailing Wage,10,0,0,0,9,63845
2875,Non Prevailing Wage,5,0,0,0,5,63845
2876,Non Prevailing Wage,12,0,0,0,13,63845
2877,Non Prevailing Wage,19,0,52,0,0,63889
2878,Non Prevailing Wage,0,2,67,0,0,63890
2879,Non Prevailing Wage,0,0,1,0,0,65067
2880,Non Prevailing Wage,1,0,0,0,0,65069
2881,Non Prevailing Wage,1,0,0,0,0,65174
2882,Non Prevailing Wage,0,0,0,0,230,65190
2883,Non Prevailing Wage,0,0,0,0,230,65190
2884,Non Prevailing Wage,0,0,0,0,228,65190
2885,Non Prevailing Wage,0,0,0,0,39,65190
2886,Non Prevailing Wage,0,0,0,0,45,65190
2887,Non Prevailing Wage,0,0,0,0,45,65190
2888,Non Prevailing Wage,0,0,0,0,39,65190
2889,Non Prevailing Wage,0,0,0,0,39,65190
2890,Non Prevailing Wage,0,0,0,0,51,65190
2891,Non Prevailing Wage,7,0,0,4,73,48753
2892,Prevailing Wage,0,0,0,62,0,59388
2893,Non Prevailing Wage,126,0,6,40,17,61297
2894,Non Prevailing Wage,18,0,0,23,0,61609
2895,Non Prevailing Wage,16,0,31,5,5,61611
2896,Non Prevailing Wage,29,0,42,8,14,61611
2897,Non Prevailing Wage,58,0,38,10,7,61611
2898,Prevailing Wage,0,0,0,145,0,61842
2899,Non Prevailing Wage,14,0,0,0,89,61847
2900,Non Prevailing Wage,49,0,0,113,0,62227
2901,Non Prevailing Wage,1,0,0,0,0,65052
2902,Non Prevailing Wage,0,0,2,0,0,65059
2903,Non Prevailing Wage,0,0,0,0,1,65101
2904,Non Prevailing Wage,0,0,0,2,0,65146
2905,Non Prevailing Wage,62,0,0,12,8,44431
2906,Non Prevailing Wage,91,0,0,19,13,44431
2907,Non Prevailing Wage,17,0,5,7,17,53655
2908,Non Prevailing Wage,19,0,0,9,26,53655
2909,Non Prevailing Wage,3,0,0,3,7,53655
2910,Non Prevailing Wage,4,0,0,1,4,53655
2911,Non Prevailing Wage,9,0,1,4,10,53655
2912,Non Prevailing Wage,5,0,0,2,8,53655
2913,Non Prevailing Wage,2,0,0,2,4,53655
2914,Non Prevailing Wage,11,0,0,4,6,53655
2915,Non Prevailing Wage,1,0,1,2,0,53655
2916,Non Prevailing Wage,2,0,0,2,7,53655
2917,Non Prevailing Wage,23,0,1,22,31,53655
2918,Non Prevailing Wage,3,0,0,4,5,53655
2919,Non Prevailing Wage,16,0,28,0,0,61610
2920,Non Prevailing Wage,34,0,0,0,0,61802
2921,Non Prevailing Wage,0,0,2,0,0,65046
2922,Non Prevailing Wage,0,0,0,0,3,65050
2923,Non Prevailing Wage,1,0,0,0,0,65150
2924,Non Prevailing Wage,1,0,0,0,171,50347
2925,Non Prevailing Wage,20,0,0,13,18,59058
2926,Non Prevailing Wage,9,0,0,0,7,59411
2927,Non Prevailing Wage,4,0,0,0,13,60027
2928,Non Prevailing Wage,5,0,0,0,4,60027
2929,Non Prevailing Wage,10,0,0,1,10,60027
2930,Non Prevailing Wage,7,0,0,3,15,60027
2931,Non Prevailing Wage,0,0,0,0,6,63840
2932,Non Prevailing Wage,0,0,0,0,6,63840
2933,Non Prevailing Wage,0,0,0,0,6,63840
2934,Non Prevailing Wage,0,0,0,0,6,63840
2935,Non Prevailing Wage,0,0,0,0,6,63840
2936,Non Prevailing Wage,0,0,0,0,3,63840
2937,Non Prevailing Wage,0,0,0,0,6,63840
2938,Non Prevailing Wage,0,0,0,0,6,63840
2939,Non Prevailing Wage,0,0,0,0,3,63840
2940,Non Prevailing Wage,0,0,0,0,6,63840
2941,Non Prevailing Wage,0,0,0,0,6,63840
2942,Non Prevailing Wage,0,0,0,0,6,63840
2943,Non Prevailing Wage,0,0,0,0,6,63840
2944,Non Prevailing Wage,0,0,0,0,5,63840
2945,Non Prevailing Wage,0,0,0,0,6,63840
2946,Non Prevailing Wage,0,0,0,0,6,63840
2947,Non Prevailing Wage,0,0,0,0,6,63840
