,prevailing_wage_status,low_income_units,middle_income_units,moderate_income_units,extremely_low_income_units,very_low_income_units,project_id
263,Prevailing Wage,0,0,0,63,0,67125
264,Non Prevailing Wage,5,0,0,18,0,69473
265,Non Prevailing Wage,0,0,0,18,1,69473
266,Non Prevailing Wage,2,0,0,15,2,69473
267,Non Prevailing Wage,3,0,0,14,2,69473
268,Non Prevailing Wage,1,0,0,0,0,69491
269,Non Prevailing Wage,0,3,0,0,0,71091
270,Non Prevailing Wage,0,3,0,0,0,71100
271,Non Prevailing Wage,0,9,0,0,0,71101
272,Non Prevailing Wage,0,0,7,0,0,65433
273,Non Prevailing Wage,0,0,10,0,0,65433
274,Non Prevailing Wage,0,0,19,0,0,65433
275,Non Prevailing Wage,0,3,0,0,0,71089
276,Non Prevailing Wage,1,0,0,7,13,68196
277,Non Prevailing Wage,2,0,0,6,12,68196
278,Non Prevailing Wage,3,0,0,8,9,68196
279,Non Prevailing Wage,2,0,0,4,12,68196
280,Non Prevailing Wage,0,0,0,4,2,68196
281,Non Prevailing Wage,1,0,0,4,20,68196
282,Non Prevailing Wage,94,0,0,44,35,66903
283,Non Prevailing Wage,3,0,6,1,31,67991
284,Prevailing Wage,0,0,0,156,0,69042
285,Non Prevailing Wage,28,0,0,0,0,69561
286,Non Prevailing Wage,0,0,1,0,0,70951
287,Non Prevailing Wage,0,47,0,0,0,71088
288,Non Prevailing Wage,34,0,0,0,27,68567
289,Non Prevailing Wage,0,3,0,0,0,71087
290,Non Prevailing Wage,0,1,0,0,0,70919
291,Non Prevailing Wage,0,7,0,0,0,71086
292,Non Prevailing Wage,0,15,0,0,0,71084
293,Non Prevailing Wage,0,3,0,0,0,71085
294,Non Prevailing Wage,48,0,0,18,48,66740
295,Non Prevailing Wage,1,0,0,0,0,70918
296,Non Prevailing Wage,0,6,0,0,0,71083
297,Non Prevailing Wage,0,0,0,0,1,70956
298,Non Prevailing Wage,1,0,0,0,0,70958
299,Non Prevailing Wage,0,4,0,0,0,71079
300,Non Prevailing Wage,3,0,0,0,0,71081
301,Non Prevailing Wage,0,3,0,0,0,71082
302,Non Prevailing Wage,0,0,28,0,0,71078
303,Non Prevailing Wage,1,0,0,0,0,70957
304,Non Prevailing Wage,30,0,0,0,0,69254
305,Non Prevailing Wage,0,6,0,0,0,71077
306,Non Prevailing Wage,1,0,0,0,0,70959
307,Non Prevailing Wage,0,0,0,0,1,70960
308,Non Prevailing Wage,0,3,0,0,0,71076
309,Non Prevailing Wage,0,0,0,0,4,69441
310,Non Prevailing Wage,1,0,0,2,6,69441
311,Non Prevailing Wage,2,0,0,1,5,69441
312,Non Prevailing Wage,1,0,0,3,4,69441
313,Non Prevailing Wage,1,0,0,0,7,69441
314,Non Prevailing Wage,0,0,0,2,6,69441
315,Non Prevailing Wage,0,0,0,0,8,69441
316,Non Prevailing Wage,2,0,0,2,4,69441
317,Non Prevailing Wage,8,0,0,1,26,69441
318,Non Prevailing Wage,1,0,0,0,11,69441
319,Non Prevailing Wage,2,0,0,0,6,69441
320,Non Prevailing Wage,0,0,0,0,8,69441
321,Non Prevailing Wage,2,0,0,1,5,69441
322,Non Prevailing Wage,4,0,0,2,6,69441
323,Non Prevailing Wage,5,0,0,2,5,69441
324,Non Prevailing Wage,4,0,0,2,13,69441
325,Non Prevailing Wage,1,0,0,1,2,69441
326,Non Prevailing Wage,0,0,0,1,8,69441
327,Non Prevailing Wage,0,0,0,0,6,69441
328,Non Prevailing Wage,0,0,0,0,6,69441
329,Non Prevailing Wage,0,0,0,1,4,69441
330,Non Prevailing Wage,0,0,0,0,19,69441
331,Non Prevailing Wage,1,0,0,0,7,69441
332,Non Prevailing Wage,0,0,0,1,3,69441
333,Non Prevailing Wage,1,0,0,0,0,70874
334,Non Prevailing Wage,1,0,0,0,0,70881
335,Non Prevailing Wage,0,17,0,0,0,70871
336,Non Prevailing Wage,0,3,0,0,0,70870
337,Non Prevailing Wage,0,2,0,0,0,70869
338,Non Prevailing Wage,0,2,0,0,0,70869
339,Non Prevailing Wage,6,0,0,0,0,68142
340,Non Prevailing Wage,1,0,0,0,0,70802
341,Non Prevailing Wage,0,5,0,0,0,70868
342,Non Prevailing Wage,0,12,0,0,0,70838
343,Non Prevailing Wage,0,6,0,0,0,70867
344,Non Prevailing Wage,1,0,0,0,0,70873
345,Non Prevailing Wage,0,3,0,0,0,70866
346,Non Prevailing Wage,1,0,0,0,0,70877
347,Non Prevailing Wage,0,2,0,0,0,70864
348,Non Prevailing Wage,0,6,0,0,0,70865
